n,mae_AH,mae_Tot,n_ah_ge_0_5,n_ah_ge_0_75,n_tot_ge_0_5,bias_AH,bias_Tot,mae_P1,mae_PX,mae_P2,n_1x2,bucket,arm,mode
58,0.28879310344827586,0.2629310344827586,20,6,13,0.004310344827586207,0.22844827586206898,0.060486936151896424,0.027797404956468905,0.06097511844171557,58,GW1,BASE,policy
58,0.21120689655172414,0.1896551724137931,10,0,6,-0.03879310344827586,0.02586206896551724,0.04492048704685512,0.019506576223900892,0.0407672674891731,58,GW1,A,policy
58,0.1939655172413793,0.1896551724137931,8,0,7,-0.03017241379310345,0.09482758620689655,0.0423355360795168,0.019910886857510628,0.03991678326177553,58,GW1,B,policy
58,0.21551724137931033,0.21120689655172414,14,1,7,-0.008620689655172414,0.14224137931034483,0.04367486482734395,0.021433116036837764,0.04391103929984917,58,GW1,C,policy
58,0.21551724137931033,0.14224137931034483,10,3,5,-0.08620689655172414,0.07327586206896551,0.05372325371798653,0.02102038350418455,0.040927384246012805,58,GW2,BASE,policy
58,0.22844827586206898,0.15086206896551724,14,3,5,-0.03879310344827586,-0.01293103448275862,0.051114539298726405,0.019636780807226705,0.0411583307938877,58,GW2,A,policy
58,0.2025862068965517,0.14224137931034483,13,2,4,-0.03017241379310345,0.01293103448275862,0.04923318142721273,0.019030445269377087,0.038914714429964366,58,GW2,B,policy
58,0.1939655172413793,0.125,10,2,3,-0.04741379310344827,0.03017241379310345,0.04789474940996379,0.01909994360662325,0.03668416253283629,58,GW2,C,policy
56,0.15625,0.13392857142857142,7,1,1,-0.07589285714285714,0.044642857142857144,0.03903475878722463,0.014233980098555258,0.034425040183644375,56,GW3,BASE,policy
56,0.19196428571428573,0.14285714285714285,3,0,2,-0.05803571428571429,-0.03571428571428571,0.04356323557214016,0.01438683298381499,0.0380342264277147,56,GW3,A,policy
56,0.16071428571428573,0.13392857142857142,3,0,2,-0.0625,-0.008928571428571428,0.03933686359524088,0.013503072901012877,0.03472815856450539,56,GW3,B,policy
56,0.14732142857142858,0.11607142857142858,3,1,0,-0.04017857142857143,0.008928571428571428,0.03705873733680739,0.0129956634495247,0.03264078772139585,56,GW3,C,policy
58,0.1724137931034483,0.14655172413793102,9,1,4,-0.11206896551724138,0.05172413793103448,0.04072736825288947,0.016392803561472904,0.032262061464747846,58,GW4,BASE,policy
58,0.17672413793103448,0.15517241379310345,8,0,3,-0.09051724137931035,-0.034482758620689655,0.0453728838527578,0.017897658405710795,0.035359802480166194,58,GW4,A,policy
58,0.14224137931034483,0.1336206896551724,6,0,2,-0.09051724137931035,-0.01293103448275862,0.03941573826176757,0.016792493981499963,0.030767795127229883,58,GW4,B,policy
58,0.13793103448275862,0.13793103448275862,6,0,2,-0.09482758620689655,0.008620689655172414,0.03712746145015876,0.015954211222868747,0.030688655662862704,58,GW4,C,policy
231,0.14935064935064934,0.12337662337662338,23,2,11,-0.049783549783549784,0.008658008658008658,0.03477626474769376,0.01534521833059614,0.03022116832059063,231,GW5-8,BASE,policy
231,0.14935064935064934,0.12337662337662338,23,2,11,-0.049783549783549784,0.008658008658008658,0.03477626474769376,0.01534521833059614,0.03022116832059063,231,GW5-8,A,policy
231,0.14935064935064934,0.12337662337662338,23,2,11,-0.049783549783549784,0.008658008658008658,0.03477626474769376,0.01534521833059614,0.03022116832059063,231,GW5-8,B,policy
231,0.14935064935064934,0.12337662337662338,23,2,11,-0.049783549783549784,0.008658008658008658,0.03477626474769376,0.01534521833059614,0.03022116832059063,231,GW5-8,C,policy
230,0.20869565217391303,0.17173913043478262,46,11,23,-0.06739130434782609,0.1,0.048575325492197306,0.019910074881749666,0.04221455204838133,230,GW1-4,BASE,policy
230,0.20217391304347826,0.15978260869565217,35,3,16,-0.05652173913043478,-0.014130434782608696,0.046266086884971865,0.01788713714100116,0.038836825757474734,230,GW1-4,A,policy
230,0.175,0.15,30,2,15,-0.05326086956521739,0.021739130434782608,0.042608533895244875,0.017342321724970463,0.03609363418744587,230,GW1-4,B,policy
230,0.17391304347826086,0.14782608695652175,33,4,12,-0.04782608695652174,0.04782608695652174,0.041477042090149005,0.01740877766704569,0.03601020803104331,230,GW1-4,C,policy
